milliseconds (ms),raw_median,ema_raw,index,status,cal-loaded,clear_raw,cloudy_raw
14447,6,5,100,TURBID,0,0,0
14938,5,5,100,TURBID,0,0,0
15429,4,5,100,TURBID,0,0,0
15920,4,5,100,TURBID,0,0,0
16411,5,5,100,TURBID,0,0,0
16902,3,4,100,TURBID,0,0,0
17393,5,5,100,TURBID,0,0,0
17884,6,5,100,TURBID,0,0,0
18375,4,5,100,TURBID,0,0,0
18866,6,5,100,TURBID,0,0,0
19357,5,5,100,TURBID,0,0,0
19848,5,5,100,TURBID,0,0,0
20339,6,5,100,TURBID,0,0,0
20830,4,5,100,TURBID,0,0,0
21321,4,5,100,TURBID,0,0,0
21812,5,5,100,TURBID,0,0,0
22303,4,5,100,TURBID,0,0,0
22794,4,5,100,TURBID,0,0,0
23285,5,5,100,TURBID,0,0,0
23776,5,5,100,TURBID,0,0,0
24267,5,5,100,TURBID,0,0,0
24758,7,5,100,TURBID,0,0,0
25249,5,5,100,TURBID,0,0,0
25740,6,5,100,TURBID,0,0,0
26231,6,5,100,TURBID,0,0,0
26722,5,5,100,TURBID,0,0,0
27213,6,5,100,TURBID,0,0,0
27704,6,6,100,TURBID,0,0,0
28195,6,6,100,TURBID,0,0,0
28686,6,6,100,TURBID,0,0,0
29177,5,6,100,TURBID,0,0,0
29668,6,6,100,TURBID,0,0,0
30159,6,6,100,TURBID,0,0,0
30650,6,6,100,TURBID,0,0,0
31141,6,6,100,TURBID,0,0,0
31632,5,6,100,TURBID,0,0,0
32123,5,6,100,TURBID,0,0,0
32614,6,6,100,TURBID,0,0,0
33105,6,6,100,TURBID,0,0,0
33596,5,6,100,TURBID,0,0,0
34087,6,6,100,TURBID,0,0,0
34578,6,6,100,TURBID,0,0,0
35069,6,6,100,TURBID,0,0,0
35560,5,6,100,TURBID,0,0,0
36051,6,6,100,TURBID,0,0,0
36542,6,6,100,TURBID,0,0,0
37033,5,6,100,TURBID,0,0,0
37524,5,5,100,TURBID,0,0,0
38015,6,6,100,TURBID,0,0,0
38506,6,6,100,TURBID,0,0,0
